"","text"
"62","RT @RicFlairNatrBoy: Cleveland, Break Out Your Brooms! Tonight The @cavs Will SWEEP The @Raptors! WOOOOO! https://t.co/y3NqxoLK3H"
"63","Maybe the Raptors should move to Seattle?"
"64","Ok.......so what do the Raptors do next? I mean it‚Äôs been 5 years"
"65","RT @Paul__Jones: Many @Raptors fans wondering how Kevin Love elbows DeRozan in game one and tonight against Lowry were not reviewed. And De‚Ä¶"
"66","@Heroiczero13 @jeskeets It shouldn‚Äôt matter about the finals cause the Raptors were ‚Äúnew and improved‚Äù but got swept in the second round"
"67","This city is cursed. #raptors #sweep"
"68","RT @JLew1050: There's really no way to spin this, no excuses this time around. These Raptors were healthy, rested and deep. They changed th‚Ä¶"
"69","@Ab0ut36greeks @Lil_Kdot72 @Raptors This Raptors Team was top 5 offense and top 5 Defense. Nobody actually expected‚Ä¶ https://t.co/SMnp1Z8OzA"
"70","We the north Ì†ΩÌ∏Ç Leafs out, Raptors out.  Bye bye Torontooooooo Ì†ΩÌ±ãÌ†ºÌøªÌ†ΩÌ±ãÌ†ºÌøªÌ†ΩÌ±ãÌ†ºÌøª"
"71","Raptors should be absolutely ashamed of themselves. Embarrassing for the nba that this collection of mental midgets managed to get a 1 seed."
"72","My school aint safe tmrw, im going after every raptors fans head"
"73","RT @LakeShowYo: LeBron vs Raptors in a nutshell Ì†ΩÌ∏≠ https://t.co/zisM1J8Isk"
"74","#RaptorsFuneral #RapistsDeservesDeath #RapWasGoodUntil #RaptorsCavs all rigged and fixed by @NBATV committee.‚Ä¶ https://t.co/BjddVTflWy"
"75","RT @LeeInVan: Let's check in on the Raptors....oh. https://t.co/F6Ae5tIs7p"
"76","RT @fullcourtprez: At this point the Raptors could go 77-5 next season and I think they‚Äôre still getting swept by LeBron"
"77","@iamsofakinggood @LegendOfWinning Yea Ì†ΩÌ≤Ø since your a raptors fan don‚Äôt you lowkey think a change needs to be made though?"
"78","RT @LakeShowYo: LeBron vs Raptors in a nutshell Ì†ΩÌ∏≠ https://t.co/zisM1J8Isk"
"79","RT @shaqtin: This series in a nutshell for the Raptors... Ì†ΩÌ∏¨ #Shaqtin https://t.co/nVAvD2ddnh"
"80","bro bron might as well buy part of the Raptors"
"81","@KdLive @Raptors Stop being salty you're team chokes every year you had to know this was coming"
"82","RT @MyMikeCheck: So basically in the East ...

LeBron ended Pistons' mid-2000s conference stranglehold. Stomped out Soulja Boy's Wizards. W‚Ä¶"
"83","RT @shaqtin: This series in a nutshell for the Raptors... Ì†ΩÌ∏¨ #Shaqtin https://t.co/nVAvD2ddnh"
"84","RT @BSO: Cavs shooting 63% from the field... Raptors going straight to Cancun from Cleveland"
"85","La pesadilla de los Raptors: LeBron anot√≥ desde un √°ngulo casi imposible; VIDEO:
https://t.co/86vkVAPWR7 #NBA https://t.co/bKjcs4qQsb"
"86","Raptors fans this is prob the last time you see demar in  a raptors Jersey i expect this whole team 2 be blown up t‚Ä¶ https://t.co/HZkpzz1Ran"
"87","I guess the Raptors are #BabyDinosaurs lol. SWEEP!!! Go #Cavs #DefendTheLand Ì†ºÌøÄ"
"88","RT @DragonflyJonez: JR steals the inbound. George Hill hits a Tony Parker baseline spin. Send the Raptors to the Mountain West Conference.‚Ä¶"
"89","At this point as a @Cavs fan, I just feel bad that we do this to @Raptors every year. They‚Äôre a great team and our‚Ä¶ https://t.co/5xjKWgpw3F"
"90","Raptors look ready to go on vacation."
"91","The Toronto Raptors are the most heartless, dickless, unemotional team in NBA history. Y‚Äôall are slobbering all ove‚Ä¶ https://t.co/JMfyAcwIvO"
"92","RT @clevezirm: 2015 Hawks. 2017 Celtics. 2018 Raptors. the way the Cavs have dismantled some of these 1 seeds during this four season run i‚Ä¶"
"93","RT @HennyOmega: This the best slander I've seen the Raptors get all series lmaoooooooo https://t.co/0mImvDBEmI"
"94","RT @HeatvsHaters: Seriously, how deflating is this:
First, You get swept by LeBron &amp; Cavs

Next season, you get a franchise record in wins.‚Ä¶"
"95","Fight back @Raptors"
"96","RT @xcvs051: Cavs t√° amassando o raptors"
"97","Raptors fans right now. https://t.co/X9aS7yWCwg"
"98","Death, taxes, and the Raptors choking in the playoffs. Life‚Äôs good."
"99","How the Raptors see the Cavs. https://t.co/8mFoqIOBd5"
"100","I mean if you really look at it, Demar should've just left and went to the lakers. The lakers wouldn't have made th‚Ä¶ https://t.co/ML4YnPCehq"
"101","RT @fullcourtprez: At this point the Raptors could go 77-5 next season and I think they‚Äôre still getting swept by LeBron"
"102","RT @LBJ23_Fan: Throwback to this gem of a quote from LeBron. 

I don‚Äôt think those reporters took him seriously, but the #4 seed Cavs just‚Ä¶"
"103","RT @LBJ23_Fan: Throwback to this gem of a quote from LeBron. 

I don‚Äôt think those reporters took him seriously, but the #4 seed Cavs just‚Ä¶"
"104","Goodbye Raptors and even better, goodbye Drake!! #Cavs"
"105","RT @JLew1050: There's really no way to spin this, no excuses this time around. These Raptors were healthy, rested and deep. They changed th‚Ä¶"
"106","Toronto Raptors officially the league's most disappointing franchise."
"107","RT @fullcourtprez: At this point the Raptors could go 77-5 next season and I think they‚Äôre still getting swept by LeBron"
"108","Raptors can go 82-0 and still get swept by LeBron https://t.co/TuwexmU79a"
"109","sums up the raptors vs LeBron. #LeBronto https://t.co/2omwdcQizC"
"110","RT @DragonflyJonez: JR steals the inbound. George Hill hits a Tony Parker baseline spin. Send the Raptors to the Mountain West Conference.‚Ä¶"
"111","We‚Äôd like to thank the Toronto @Raptors for their participation in the 2018 NBA playoffs. You guys were adorable. https://t.co/2rWj2LzsG8"
"112","Goodnight @Raptors"
"113","The @Raptors only win cuz they boring as fuck, @DeMar_DeRozan save his real talent for the @DrewLeague ... that nigga is a myth Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"114","RT @fullcourtprez: At this point the Raptors could go 77-5 next season and I think they‚Äôre still getting swept by LeBron"
"115","lebron sweeps the raptors... again #lebronto Ì†ΩÌ±ë"
"116","RT @_sirhampton_: Raptors not even gonna give us one game huh?"
"117","@Raptors You guys really slowed down your tweeting"
"118","RT @KenKenProd: I really feel for Toronto fans right now. Cavs are inconsistent. Sixers are young. Celtics are injured. Raptors got the #1‚Ä¶"
"119","RT @EACoreySA: The Raptors choke every year in the playoffs, but this? https://t.co/CMNRgte6Ir"
"120","@KyleNeubeck Not much of a showing by the Raptors"
"121","RT @Natural_OneDurr: Parappa the Rappa&gt;&gt;&gt;&gt;Toronto Raptors"
"122","RT @ringer: Raptors: ""We're an upgraded version of last year's Raptors! We're the no. 1 seed! This is our year!""
LeBrontosaurus:
#RingerNBA‚Ä¶"
"123","Bye Raptors :("
"124","RT @JLew1050: There's really no way to spin this, no excuses this time around. These Raptors were healthy, rested and deep. They changed th‚Ä¶"
"125","Raptors lack conviction smh"
"126","RT @DVDJXX: Is the Niggas who were saying pacers was finna beat Bron and he getting bodied by a singing nigga...them same niggas who said t‚Ä¶"
"127","RT @Raptors: https://t.co/mexOiogSyf"
"128","RT @mcten: Three Cavs players are in double-digit scoring. None of them are named LeBron. And Cleveland is up by 14 on the Raptors, setting‚Ä¶"
"129","RT @TheCousinSal: Good lord. The Virginia Cavaliers are laughing at what a terrible one seed the Toronto Raptors are. #CLEvsTOR"
"130","@mgsiegler He‚Äôs playing and the Raptors starters aren‚Äôt!"
"131","@ZoD4WG i‚Äôm not saying lebron isnt THAT DUDE im just saying it‚Äôs a team sport at the end of the day, and the raptor‚Ä¶ https://t.co/kthTK1EYzp"
"132","Despite what Raptors 'fans' think and what the entire nba say, the Raps are a great team and will learn from their‚Ä¶ https://t.co/xaX33nfSq1"
"133","Raptors can‚Äôt even envision themselves in the finals"
"134","Yo stop letting the Raptors in the playoffs."
"135","RT @TomerAzarly: LeBron James vs. DeMar DeRozan and Kyle Lowry IN THE SERIES! Wow. #Cavs #Raptors #WhateverItTakes #WeTheNorth https://t.co‚Ä¶"
"136","RT @KingJosiah54: ‚ÄúHow the LeBronto Raptors get swept?‚Äù

Drake: https://t.co/2eJTB5ptKD"
"137","RT @IAmRealRob: Raptors are sorry. Playing this good, getting a good record just to blow it all in the playoffs. What a shame."
"138","The raptors losing to Lebron bald spot having ass"
"139","Raptors = Extinct"
"140","Remember that time @Raptors were 1 seed I‚Äôm east bracket, thought this year was there year to beat LBJ, and talked‚Ä¶ https://t.co/pZiGylPEJr"
"141","Looks like the Raptors are rolling over rather than fighting for their playoff lives."
"142","@nfabico @Raptors Just shut it down Ì†ΩÌ∏û"
"143","@Raptors Thanks for a great season despite the bad ending. We Still the North. Raptors fan for life."
"144","RT @AskTrillAC: Raptors gotta get Valanciunas some help next season."
"145","Time for the wizards and raptors to trade an all star"
"146","RT @Tawil332: @Raptors @cavs @nbcsnl  https://t.co/3A1o0zrrI8"
"147","@ball_likemccall The Raptors folding so hard"
"148","RT @ShahbazMKhan: I put the correct music behind LeBron's game-winner.

I'm sorry, Raptors fans. It was God's Plan. https://t.co/RkAD92Hm1z"
"149","oh @KingJames the Raptors are just kids.... https://t.co/w8E4VBC6N8"
"150","Estimados Raptors de Toronto los exhorto a participar nuevamente en los playoff cuando LeBron se retire. #LeBronto @KingJames"
"151","RT @RealSkipBayless: LeBron is basically taking the night off vs these sorry Raptors. Can't blame him. Mercy rule! Call off the second half!"
"152","This is just sad watching the raptors get abused like this.. Smh #LeBron #swept"
"153","S√≥ queria dizer RIP Raptors!"
"154","RT @LBJ23_Fan: Throwback to this gem of a quote from LeBron. 

I don‚Äôt think those reporters took him seriously, but the #4 seed Cavs just‚Ä¶"
"155","RT @_scottjohnson: LeBron James vs. the Toronto Raptors (Conference Semifinals, 2018) https://t.co/kV1louFZGm"
"156","@RaptorsHQ Remember Marc Davis the one who had ejected 3 Raptors before, he do it again tonight."
"157","@Raptors  https://t.co/VM8V3nMQO0"
"158","RT @Herring_NBA: What an awful exit for DeRozan and the Raptors. Just brutal."
"159","@Raptors Welp"
"160","@Raptors https://t.co/SuqQn2ul4F"
"161","Game.

https://t.co/bhgbfYS2qK"
"162","RT @SportsCentre: UPDATE: #Raptors' DeMar DeRozan is ejected late in the third quarter of Game 4 vs #Cavaliers for a flagrant-2 foul. Rapto‚Ä¶"
"163","RT @fullcourtprez: At this point the Raptors could go 77-5 next season and I think they‚Äôre still getting swept by LeBron"
"164","RT @TeamLeBron_: Here comes the annual ‚ÄúCavs won‚Äôt make the Finals! This is the Raptors‚Äô year‚Äù

To ‚Äúthe east is wack‚Äù

Smdh Ì†æÌ¥¶Ì†ºÌøº‚Äç‚ôÇÔ∏è"
"165","RT @sammiee_k: how tf did the raptors get the one seed?"
"166","I do not associate with the Raptors, Jays, or Leafs. All L magnets when winning matters. TFC only good thing. COYR"
"167","RT @JLew1050: There's really no way to spin this, no excuses this time around. These Raptors were healthy, rested and deep. They changed th‚Ä¶"
"168","RT @CurryDagger: LMFAOOO Cavs-Raptors summed up in one video  https://t.co/NPvHUEkpb0"
"169","RT @SBNationGIF: LeBron James feeds his raptors a steady diet of Ls https://t.co/kjvrgbu7a6"
"170","RT @RealSkipBayless: Come on, Bron, just three - no, now just two - more rebounds vs sorry Raptors and YOU'VE GOT ANOTHER PLAYOFF TRIPLE DO‚Ä¶"
"171","RT @BSO: Cavs shooting 63% from the field... Raptors going straight to Cancun from Cleveland"
"172","RT @ExpertoNBA: DeMar Derozan Out
Toronto Raptors Out
Dwane Casey Out
Drake Out"
"173","A lot of players have tormented the Raptors over the years (this includes dudes like Marcus Thornton) but none like‚Ä¶ https://t.co/SbKQ5TqpOO"
"174","Que fracas√≥ lo de @Raptors es un equipo de temporada regular, en los Playoffs se asustan."
"175","@Ianadmire @BronzeBurgandy @Paul__Jones @Raptors Magnets bro. Refs put them in the ball so Cleveland can make points. You ain‚Äôt know?"
"176","Raptors are the softest 1 seed ever #Cavs #RaptorsCavs #NBAPlayoffs"
"177","RT @hoesandarizona: I don‚Äôt want to hear nomore ‚Äúraptors are good asf this year‚Äù"
"178","RT @clevezirm: 2015 Hawks. 2017 Celtics. 2018 Raptors. the way the Cavs have dismantled some of these 1 seeds during this four season run i‚Ä¶"
"179","RT @XIsThatNigga: Lmao Raptors fans had the nerve to be mad at niggas for not taking that regular season record seriously"
"180","Raptors got swept.... unbelievable cause it‚Äôs so believable... Bron is Goat but wow... Gods plan and nice for what‚Ä¶ https://t.co/fmhdhtd3v9"
"181","The last time the Raptors won anything big , was when Vince Carter won‚Äôt the dunk contest!!!!!Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç #NBAPlayoffs2018"
"182","RT @TheNBAMonster: Lo de LeBron James a Raptors ya es bullying...  https://t.co/1GEOXzntRz"
"183","RT @CLEsportsTalk: Cavs lead Raptors 110-80 with under 8 minutes to play. Timeout Cavs. 

Here comes the Cavalier JV squad."
"184","RIP Toronto Raptors Ì†ΩÌ∏¢"
"185","the raptors played their hearts out against the wizards just to get swept."
"186","this series has been a joke on all fronts. From the raptors, the referee‚Äôs etc"
"187","Hold On, You‚Äôre Going Home @Raptors https://t.co/zbj9FwBqSa"
"188","RT @therealbradg: The Raptors in the playoffs is what happens when you make Drake the face of your franchise."
"189","@raptors Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£Ì†æÌ¥£ #nbaplayoffs #cavs #raptors https://t.co/wr8aNAwXvH"
"190","The raptors are just like the 90s knicks lol even with their own Spike Lee in Drake can never get over Jordan like LeBron"
"191","RT @lthomasnews: Pens and Raptors getting eliminated on the same day, huh? https://t.co/c8wUqZFTOT"
"192","RT @JLew1050: There's really no way to spin this, no excuses this time around. These Raptors were healthy, rested and deep. They changed th‚Ä¶"
"193","RT @EricTrillman_: Bron gonna take the Raptors out for ice cream after game 4"
"194","i thought the Raptors would do better tbh."
"195","Raptors are a joke franchise"
"196","The Raptors playing so bad after they got their hearts broken after that game 3 buzzer beater Ì†ΩÌ∏è"
"197","@AdamHimmelsbach It's not over. The Raptors can still do this. https://t.co/LqaARIQOfH"
"198","RT @Paul__Jones: Many @Raptors fans wondering how Kevin Love elbows DeRozan in game one and tonight against Lowry were not reviewed. And De‚Ä¶"
"199","Goodnight Raptors na yan..."
"200","I don‚Äôt wanna hear about y‚Äôall ever again @raptors @aubrey"
"201","Every year the raptors always choke in the playoffs are y‚Äôall really that scared of Lebron??"
"202","RT @ChocolatineCavs: Est-ce que les Cavs ont √©t√© excellents ? Ou est-ce que les Raptors se sont effondr√©s lamentablement ?"
"203","So raptors fan are cool with CJ Miles shooting more attempts then K Lowry &amp; shooting the same attempts as Derozan?‚Ä¶ https://t.co/CcJ03LEAAC"
"204","RT @foolishfoolie: Djdjskxjksksbdj RT @DonArtistry YOU NIGGAS TOLD ME THAT THE RAPTORS WAS GOING TO THE FINALS. https://t.co/yPImKOZc2v"
"205","RT @dbrand: This Jurassic World: Fallen Kingdom sponsorship on the Raptors sweep might be the most lowkey savage thing we've ever seen. htt‚Ä¶"
"206","All of @Raptors fans right now https://t.co/HOy1WFBLz8"
"207","Raptors really the new version of Gilbert‚Äôs Wizards. Guess what, Bron owned them niggas too. Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"208","RT @HeatvsHaters: Seriously, how deflating is this:
First, You get swept by LeBron &amp; Cavs

Next season, you get a franchise record in wins.‚Ä¶"
"209","RT @nillarafers21: The Raptors blew a 3 seed lead in the 2018 NBA playoffs @Reflog_18"
"210","RT @_scottjohnson: LeBron James vs. the Toronto Raptors (Conference Semifinals, 2018) https://t.co/kV1louFZGm"
"211","Love you always @Raptors"
"212","Les Raptors = les Manchester City du basket"
"213","All but over... What a wasted season for the Raptors.. And LeBron on the fast pass to another NBA finals. https://t.co/QOkL43J5pQ"
"214","@Mobyhaque1 @MartyStJean @DeMar_DeRozan @Raptors Why is it his last game? He just signed a new deal with the Raptor‚Ä¶ https://t.co/r1XG0Hc4PX"
"215","RT @TeamLeBron____: Start of series:

Lebron Haters be like:

Raptors in 4 
Raptors in 5
Raptors in 6
Raptors in 7

Me: Raptors in Heaven‚Ä¶"
"216","RT @DontDoItJay: A healthy Lakers team could‚Äôve done better than the Raptors ."
"217","RT @fullcourtprez: At this point the Raptors could go 77-5 next season and I think they‚Äôre still getting swept by LeBron"
"218","RT @RS_Veira: In other news...Both the Raptors and Blazers have longggg offseasons ahead of them Ì†ΩÌ±Ä"
"219","The Raptors are cancelled.  You can‚Äôt even win 1 game in the second round as a 1 seed.  Sheesh."
"220","@87wlb Raptors really are trash smh"
"221","That being said, in most years the Raptors losing to a Lebron James led team was understandable, but in a season wh‚Ä¶ https://t.co/YI0zbDMwo0"
"222","The look of disappoint me on these ‚Äúcocky‚Äù raptors is the greatest thing I‚Äôve seen in awhile. #dontmesswiththeGOAT https://t.co/34oh2CHgmk"
"223","@stephenasmith @Raptors @KingJames Please respect cavs , they also hardwork. You just a big fat Ì†ΩÌ±Ñ"
"224","RT @MegaMcQueen: Bro the Raptors are horrendous. How do you lose to such a shitty team like the Cavs? Ì†ΩÌ∏™"
"225","RT @shaqtin: This series in a nutshell for the Raptors... Ì†ΩÌ∏¨ #Shaqtin https://t.co/nVAvD2ddnh"
"226","@Paul__Jones @Raptors Stop the nonsense. The refs didn‚Äôt call the foul on the raptors after they hacked klove after‚Ä¶ https://t.co/wVxnBzPnr7"
"227","Me watching LeBron in this series against the Toronto Raptors 
https://t.co/kG18yNm5VT"
"228","RT @Paul__Jones: Many @Raptors fans wondering how Kevin Love elbows DeRozan in game one and tonight against Lowry were not reviewed. And De‚Ä¶"
"229","Raptors should give their franchise to LeBron"
"230","RT @YourRAGEE: @Jacob_Hu3 D Rose 2013 season where he played 0 minutes is better than the whole raptors history"
"231","@Raptors @cavs @nbcsnl Too bad the referees can‚Äôt call a fair game!! Oh maybe LeBron influences the calls!! Never!!‚Ä¶ https://t.co/5SW0p3CGD6"
"232","RT @CallMeAgent00: Raptors are the real deal this year Ì†æÌ¥∑Ì†ºÌøæ‚Äç‚ôÇÔ∏è

Dwane Casey really turned this team around."
"233","RT @kojo_pram: @Raptors  https://t.co/rS9j5zd3Nw"
"234","RT @bomani_jones: raptors wanna throw the controller through the tv."
"235","RT @stephenasmith: Damn! @Raptors getting their butts whupped. Still won‚Äôt double @KingJames. Look like they‚Äôve quit. Could cost Dwayne Cas‚Ä¶"
"236","RT @ringer: Raptors: ""We're an upgraded version of last year's Raptors! We're the no. 1 seed! This is our year!""
LeBrontosaurus:
#RingerNBA‚Ä¶"
"237","how bout them raptors"
"238","RT @william_lou: Raptors can't defend simple split cuts. I don't get it. Cavs won't have that against the celtics."
"239","..anyways...I LOVE YOU #Raptors Twitter. I LOVE EVERY DAMN ONE OF YOU!! ..bye. #WeTheNorth FOREVER."
"240","RT @MyMikeCheck: So basically in the East ...

LeBron ended Pistons' mid-2000s conference stranglehold. Stomped out Soulja Boy's Wizards. W‚Ä¶"
"241","RT @MyMikeCheck: So basically in the East ...

LeBron ended Pistons' mid-2000s conference stranglehold. Stomped out Soulja Boy's Wizards. W‚Ä¶"
"242","Meme team fr https://t.co/VEWUhSC4gr"
"243","RT @RealSkipBayless: Come on, Bron, just three - no, now just two - more rebounds vs sorry Raptors and YOU'VE GOT ANOTHER PLAYOFF TRIPLE DO‚Ä¶"
